entityName;lastModifiedTimestamp;download_dttm
md_creative_x_asset;2023-03-24T15:36:06.000Z;2023-03-24 13:24:08.169820
md_message;2023-03-24T15:35:48.000Z;2023-03-24 13:24:10.524741
md_message_x_creative;2023-03-24T15:36:03.000Z;2023-03-24 13:24:12.772673
md_task;2023-03-24T15:39:04.000Z;2023-03-24 13:24:15.078298
ASSET_DETAILS;2023-03-24T18:13:42.000Z;2023-03-24 16:04:52.013037
ASSET_DETAILS_CUSTOM_PROP;2023-03-24T18:13:43.000Z;2023-03-24 16:04:54.374274
ASSET_FOLDER_DETAILS;2023-03-24T18:13:20.000Z;2023-03-24 16:04:56.695675
ASSET_RENDITION_DETAILS;2023-03-24T18:13:49.000Z;2023-03-24 16:04:59.326091
ASSET_REVISION;2023-03-24T18:13:44.000Z;2023-03-24 16:05:01.925358
CC_BUDGET_BREAKUP;2023-03-24T18:13:44.000Z;2023-03-24 16:05:04.185112
COMMITMENT_DETAILS;2023-03-24T18:13:22.000Z;2023-03-24 16:05:06.444454
COMMITMENT_LINE_ITEMS;2023-03-24T18:13:20.000Z;2023-03-24 16:05:09.865914
COMMITMENT_LINE_ITEMS_CCBDGT;2023-03-24T18:13:41.000Z;2023-03-24 16:05:12.177652
INVOICE_DETAILS;2023-03-24T18:13:42.000Z;2023-03-24 16:05:14.287614
INVOICE_LINE_ITEMS;2023-03-24T18:13:49.000Z;2023-03-24 16:05:16.528705
INVOICE_LINE_ITEMS_CCBDGT;2023-03-24T18:13:49.000Z;2023-03-24 16:05:19.025148
MD_BU;2023-03-24T18:13:49.000Z;2023-03-24 16:05:21.894501
MD_COSTCENTER;2023-03-24T18:13:47.000Z;2023-03-24 16:05:24.851533
MD_CUSTATTRIB_TABLE_VALUES;2023-03-24T18:13:20.000Z;2023-03-24 16:05:27.217280
MD_CUST_ATTRIB;2023-03-24T18:13:45.000Z;2023-03-24 16:05:29.426425
MD_GRID_ATTR_DEFN;2023-03-24T18:13:47.000Z;2023-03-24 16:05:31.519320
MD_OBJECT_TYPE;2023-03-24T18:13:19.000Z;2023-03-24 16:05:33.889528
MD_PICKLIST;2023-03-24T18:13:44.000Z;2023-03-24 16:05:36.106251
MD_VENDOR;2023-03-24T18:13:20.000Z;2023-03-24 16:05:38.273623
MD_WF_PROCESS_DEF;2023-03-24T18:13:42.000Z;2023-03-24 16:05:40.591671
MD_WF_PROCESS_DEF_TASKS;2023-03-24T18:13:41.000Z;2023-03-24 16:05:43.362086
MD_WF_PROCESS_DEF_TASK_ASSG;2023-03-24T18:13:37.000Z;2023-03-24 16:05:45.656572
PLANNING_HIERARCHY_DEFN;2023-03-24T18:13:47.000Z;2023-03-24 16:05:47.880835
PLANNING_INFO;2023-03-24T18:13:22.000Z;2023-03-24 16:05:50.203174
PLANNING_INFO_CUSTOM_PROP;2023-03-24T18:13:43.000Z;2023-03-24 16:05:52.685546
TAG_DETAILS;2023-03-24T18:13:37.000Z;2023-03-24 16:05:54.840611
WF_PROCESS_DETAILS;2023-03-24T18:13:41.000Z;2023-03-24 16:05:56.984022
WF_PROCESS_TASKS;2023-03-24T18:13:45.000Z;2023-03-24 16:05:59.570279
WF_TASKS_USER_ASSIGNMENT;2023-03-24T18:13:20.000Z;2023-03-24 16:06:01.845726
md_creative;2023-03-24T18:46:28.000Z;2023-03-24 16:06:04.410540
md_creative_x_asset;2023-03-24T18:46:47.000Z;2023-03-24 16:06:06.641301
md_message;2023-03-24T18:46:30.000Z;2023-03-24 16:06:08.746044
md_message_x_creative;2023-03-24T18:46:45.000Z;2023-03-24 16:06:11.049064
md_task;2023-03-24T18:50:01.000Z;2023-03-24 16:06:13.235757
ASSET_DETAILS;2023-03-24T20:14:55.000Z;2023-03-24 17:56:54.755713
ASSET_DETAILS_CUSTOM_PROP;2023-03-24T20:14:48.000Z;2023-03-24 17:56:58.025410
ASSET_FOLDER_DETAILS;2023-03-24T20:14:54.000Z;2023-03-24 17:57:00.190218
ASSET_RENDITION_DETAILS;2023-03-24T20:15:11.000Z;2023-03-24 17:57:02.888673
ASSET_REVISION;2023-03-24T20:15:02.000Z;2023-03-24 17:57:05.205677
CC_BUDGET_BREAKUP;2023-03-24T20:15:08.000Z;2023-03-24 17:57:07.662560
COMMITMENT_DETAILS;2023-03-24T20:15:08.000Z;2023-03-24 17:57:10.408558
COMMITMENT_LINE_ITEMS;2023-03-24T20:14:55.000Z;2023-03-24 17:57:12.632580
COMMITMENT_LINE_ITEMS_CCBDGT;2023-03-24T20:15:06.000Z;2023-03-24 17:57:14.876116
INVOICE_DETAILS;2023-03-24T20:15:06.000Z;2023-03-24 17:57:17.485520
INVOICE_LINE_ITEMS;2023-03-24T20:14:50.000Z;2023-03-24 17:57:19.577358
INVOICE_LINE_ITEMS_CCBDGT;2023-03-24T20:15:11.000Z;2023-03-24 17:57:21.826072
